ID,Area,AreaReal,Perimeter,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,BoundingBoxArea,BoundingBoxAreaReal,Diameter,DiameterReal,Centroid_1,Centroid_2
409,204,0.0116477510833205,148,426,174,446,197,460,0.026264536756507,24.2074368738204,0.182917292662636,436,185.5
412,173,0.00987774969320808,102,541,168,556,193,375,0.0214113071384568,25.4950975679639,0.192647170686011,548.5,180.5
422,324,0.0184993693676267,176,78,187,94,231,704,0.0401961606012629,44.5533388198909,0.336655886308604,86,209
425,346,0.0197554993864162,234,332,189,356,223,816,0.0465910043332821,36.6742416417845,0.277119507799911,344,206
430,615,0.0351145437070692,316,449,191,497,245,2592,0.147994954941014,65.0538238691624,0.491562547556122,473,218
431,492,0.0280916349656554,260,579,192,610,230,1178,0.0672600528242724,38.0131556174964,0.28723666810986,594.5,211
442,95,0.00542419780840906,70,260,195,275,207,180,0.0102774274264593,17.4928556845359,0.132180280772061,267.5,201
444,127,0.00725129601755738,84,45,196,56,221,275,0.0157016252348683,25.1793566240283,0.190261355163762,50.5,208.5
447,385,0.0219822753288157,260,362,196,384,243,1034,0.059038110883105,47.0956473572665,0.355866189208237,373,219.5
454,615,0.0351145437070692,282,519,197,555,245,1728,0.098663303294009,50.2493781056044,0.379696547344862,537,221
460,833,0.0475616502568921,402,657,180,701,223,1892,0.108027181615894,46.3249392876019,0.350042531203008,679,201.5
470,487,0.0278061508704759,274,852,179,892,220,1640,0.0936387832188512,46.2276973253049,0.349307747236854,872,199.5
475,162,0.00924968468381335,108,290,194,306,213,304,0.017357432986909,20,0.151124874240986,298,203.5
505,329,0.0187848534628061,162,706,189,727,215,546,0.0311748631935931,28.6356421265527,0.216377890759258,716.5,202
508,219,0.0125042033688588,144,483,205,504,223,378,0.0215825975955645,22.4722050542442,0.169805458137016,493.5,214
517,103,0.00588097236069614,66,804,209,815,226,187,0.0106771051597105,17.7200451466693,0.13389697971675,809.5,217.5
530,159,0.00907839422670569,86,734,205,745,223,198,0.0113051701691052,18.6815416922694,0.141162281943598,739.5,214
537,141,0.00805065148405977,140,408,215,429,234,399,0.0227816307953181,21.2132034355964,0.160292135072649,418.5,224.5
538,70,0.00399677733251194,64,389,216,402,233,221,0.0126183970069306,18.7882942280559,0.14196893012088,395.5,224.5
545,291,0.0166151743394425,166,622,204,645,230,598,0.0341438977834592,27.7848879788996,0.209949385080555,633.5,217
552,154,0.00879291013152627,112,559,208,573,228,280,0.0159871093300478,20.6155281280883,0.155775954788443,566,218
560,137,0.00782226420791623,98,186,222,205,240,342,0.0195271121102726,22.8035085019828,0.17230886773077,195.5,231
565,129,0.00736548965562915,92,109,224,125,247,368,0.0210116294052056,26.4196896272458,0.199633613620171,117,235.5
573,233,0.0133035588353612,162,831,227,856,253,650,0.0371129323733252,29.6816441593117,0.224281737042084,843.5,240
576,68,0.00388258369444017,44,897,228,906,239,99,0.0056525850845526,13.0384048104053,0.0985213643637786,901.5,233.5
585,256,0.0146167856731865,140,555,232,573,258,468,0.0267213113087941,26.4764045897475,0.200062165698953,564,245
587,327,0.0186706598247344,176,163,233,189,257,624,0.0356284150783922,29.8328677803526,0.225424419577688,176,245
592,80,0.00456774552287079,88,861,233,879,247,252,0.014388398397043,20,0.151124874240986,870,240
602,417,0.023809373537964,186,337,236,364,263,729,0.0416235810771601,29.8328677803526,0.225424419577688,350.5,249.5
606,271,0.0154732379587248,176,410,237,438,259,616,0.0351716405261051,28.2842712474619,0.213722846763531,424,248
610,249,0.0142171079399353,148,787,237,810,257,460,0.026264536756507,23.1948270094864,0.175265765742503,798.5,247
625,101,0.00576677872262437,68,394,241,405,255,154,0.00879291013152627,16.1245154965971,0.121840768831004,399.5,248
628,201,0.0114764606262129,154,447,233,468,254,441,0.0251796971948252,22.8473193175917,0.172639912930735,457.5,243.5
630,67,0.00382548687540429,62,384,243,397,258,195,0.0111338797119975,17,0.128456143104838,390.5,250.5
640,65,0.00371129323733252,68,890,245,902,259,168,0.00959226559802866,16.6433169770932,0.125760959255804,896,252
643,209,0.0119332351784999,134,300,234,319,255,399,0.0227816307953181,24.1867732448956,0.182761153246505,309.5,244.5
651,144,0.00822194194116742,128,215,233,229,251,252,0.014388398397043,18.6815416922694,0.141162281943598,222,242
663,72,0.00411097097058371,56,123,252,134,266,154,0.00879291013152627,16.1245154965971,0.121840768831004,128.5,259
670,118,0.00673742464623441,80,513,253,524,273,220,0.0125613001878947,20.6155281280883,0.155775954788443,518.5,263
675,460,0.026264536756507,226,536,254,562,300,1196,0.0682877955669183,50.5667875190821,0.382094970229598,549,277
678,64,0.00365419641829663,68,503,255,511,274,152,0.0086787164934545,19.1049731745428,0.14436183341901,507,264.5
681,506,0.0288909904321577,340,690,229,730,272,1720,0.098206528741722,43.7378554572581,0.330493895277428,710,250.5
682,208,0.0118761383594641,112,854,255,879,272,425,0.0242661480902511,25.0798724079689,0.189509628181714,866.5,263.5
683,111,0.00633774691298322,76,87,256,101,275,266,0.0151877538635454,19.2353840616713,0.145347249864858,94,265.5
692,623,0.0355713182593563,270,613,237,639,284,1222,0.0697723128618513,49.9799959983992,0.377661030491154,626,260.5
694,215,0.0122758160927152,122,820,257,837,277,340,0.0194129184722009,20.2484567313166,0.153002273854714,828.5,267
698,226,0.01290388110211,116,216,259,236,280,420,0.0239806639950716,25.4950975679639,0.192647170686011,226,269.5
700,347,0.019812596205452,186,440,259,464,289,720,0.0411097097058371,33.1058907144937,0.250156178543185,452,274
712,460,0.026264536756507,258,729,256,771,279,966,0.0551555271886648,42.7551166528639,0.323068081366138,750,267.5
715,74,0.00422516460865548,66,173,262,184,277,165,0.009420975140921,16.5529453572468,0.125078089271592,178.5,269.5
719,169,0.00964936241706454,116,474,262,494,279,340,0.0194129184722009,21.6333076527839,0.163466544922177,484,270.5
721,117,0.00668032782719853,78,282,263,293,286,253,0.0144454952160789,24.0416305603426,0.181664419749002,287.5,274.5
722,119,0.0067945214652703,82,310,263,327,278,255,0.0145596888541506,19.4164878389476,0.14671571414313,318.5,270.5
741,215,0.0122758160927152,116,196,268,212,293,400,0.0228387276143539,25.7099202643649,0.194270423334896,204,280.5
753,211,0.0120474288165717,154,402,259,423,281,462,0.0263787303945788,25.0599281722833,0.189358924676224,412.5,270
759,217,0.012390009730787,130,597,273,616,299,494,0.0282058286037271,27.2029410174709,0.205552052012513,606.5,286
765,335,0.0191274343770214,166,673,259,694,283,504,0.028776796794086,24.738633753706,0.186931145746132,683.5,271
779,94,0.00536710098937318,96,833,277,849,295,288,0.0164438838823348,20.591260281974,0.155592581028837,841,286
786,316,0.0180425948153396,182,242,279,276,317,1292,0.0737690901943632,46.0977222864644,0.348325624166893,259,298
801,70,0.00399677733251194,48,61,283,67,296,78,0.00445355188479902,13.1529464379659,0.0993868688168014,64,289.5
805,68,0.00388258369444017,50,84,284,93,297,117,0.00668032782719853,13.9283882771841,0.105246296338454,88.5,290.5
807,523,0.0298616363557678,300,337,274,371,316,1428,0.0815342575832436,46.6476151587624,0.352480748725495,354,295
808,319,0.0182138852724473,142,381,284,411,310,780,0.0445355188479902,32.310988842807,0.244149706273556,396,297
810,140,0.00799355466502388,84,143,285,157,300,210,0.0119903319975358,19.1049731745428,0.14436183341901,150,292.5
822,95,0.00542419780840906,82,182,290,195,308,234,0.0133606556543971,18.1107702762748,0.136849394020471,188.5,299
824,279,0.0159300125110119,160,462,290,487,313,575,0.0328306709456338,27.459060435492,0.207487352754468,474.5,301.5
825,200,0.011419363807177,126,643,290,663,309,380,0.0216967912336362,21.095023109729,0.159399135728425,653,299.5
827,285,0.0162725934252272,140,112,290,136,318,672,0.0383690623921146,32.2490309931942,0.243681537662007,124,304
838,326,0.0186135630056985,172,761,293,785,318,600,0.0342580914215309,26.2488094968134,0.198342401709077,773,305.5
839,149,0.00850742603634685,114,879,293,897,318,450,0.0256935685661482,25.3179778023443,0.191308810570769,888,305.5
859,153,0.00873581331249038,104,159,297,174,320,345,0.0196984025673803,23.1948270094864,0.175265765742503,166.5,308.5
860,149,0.00850742603634685,94,700,297,713,313,208,0.0118761383594641,17.0880074906351,0.129121149152563,706.5,305
882,605,0.0345435755167103,258,509,277,550,317,1640,0.0936387832188512,51.2249938994628,0.38706853805258,529.5,297
891,202,0.0115335574452487,120,562,305,580,325,360,0.0205548548529186,21.540659228538,0.162766470849038,571,315
903,171,0.00976355605513631,108,860,307,873,329,286,0.0163296902442631,22.8035085019828,0.17230886773077,866.5,318
912,82,0.00468193916094256,70,84,309,95,325,176,0.0100490401503157,16.4924225024706,0.124620763830754,89.5,317
922,114,0.00650903737009088,82,215,311,231,327,256,0.0146167856731865,19.4164878389476,0.14671571414313,223,319
930,156,0.00890710376959804,98,745,310,764,330,380,0.0216967912336362,23.0217288664427,0.173957793987562,754.5,320
937,70,0.00399677733251194,74,846,309,854,326,136,0.00776516738888034,17.2626765016321,0.130440990768599,850,317.5
938,183,0.0104487178835669,110,619,300,636,320,340,0.0194129184722009,20.8806130178211,0.157779000819646,627.5,310
940,121,0.00690871510334207,60,640,316,649,333,153,0.00873581331249038,17.0293863659264,0.12867819364759,644.5,324.5
946,615,0.0351145437070692,272,760,317,798,355,1444,0.0824478066878177,46.2276973253049,0.349307747236854,779,336
950,107,0.00610935963683968,90,481,319,497,334,240,0.0137032365686124,20.5182845286832,0.155041158451901,489,326.5
960,323,0.0184422725485908,160,708,319,732,343,576,0.0328877677646697,24.7588368062799,0.187083804935108,720,331
963,158,0.00902129740766981,128,423,312,441,330,324,0.0184993693676267,21.4009345590327,0.16171067719367,432,321
972,88,0.00502452007515787,66,61,326,71,343,170,0.00970645923610043,17.7200451466693,0.13389697971675,66,334.5
973,142,0.00810774830309565,86,242,310,256,328,252,0.014388398397043,20.8086520466848,0.157235246183984,249,319
974,118,0.00673742464623441,66,353,326,364,342,176,0.0100490401503157,16.1554944214035,0.122074853136778,358.5,334
975,173,0.00987774969320808,118,625,326,645,356,600,0.0342580914215309,34.6698716467194,0.261973999628081,635,341
976,76,0.00433935824672725,48,165,327,173,340,104,0.00593806917973203,13.6014705087354,0.102776026006256,169,333.5
978,347,0.019812596205452,258,804,317,832,354,1036,0.0591523045211767,39.2173431022552,0.296335802219696,818,335.5
984,68,0.00388258369444017,92,462,329,481,343,266,0.0151877538635454,21.4009345590327,0.16171067719367,471.5,336
985,235,0.0134177524734329,154,528,328,550,350,484,0.0276348604133683,24.4131112314674,0.184471418234336,539,339
988,273,0.0155874315967966,144,385,330,407,352,484,0.0276348604133683,23.0867927612304,0.174449432633433,396,341
991,80,0.00456774552287079,62,236,331,246,345,140,0.00799355466502388,14.560219778561,0.110020569147808,241,338
996,191,0.010905492435854,126,648,332,665,352,340,0.0194129184722009,21.540659228538,0.162766470849038,656.5,342
1000,223,0.0127325906450023,138,506,323,526,354,620,0.0354000278022486,34.9857113690718,0.264360561544121,516,338.5
1004,184,0.0105058147026028,126,192,334,214,352,396,0.0226103403382104,22.3606797749979,0.168962745946976,203,343
1015,106,0.0060522628178038,68,865,337,876,350,143,0.00816484512213154,13.1529464379659,0.0993868688168014,870.5,343.5
1023,250,0.0142742047589712,152,359,340,382,360,460,0.026264536756507,25.0798724079689,0.189509628181714,370.5,350
1055,65,0.00371129323733252,68,877,348,893,358,160,0.00913549104574158,16.0312195418814,0.121135801859823,885,353
1059,338,0.0192987248341291,164,568,337,592,362,600,0.0342580914215309,28.6530975637888,0.216509788297115,580,349.5
1066,354,0.0202122739387032,204,739,354,763,382,672,0.0383690623921146,28.6356421265527,0.216377890759258,751,368
